NAME                                                                           VERSION                              TYPE                                      
./.github/actions/frontend-tests                                               UNKNOWN                              github-action                             
./.github/actions/publish-codecov                                              UNKNOWN                              github-action           (+1 duplicate)    
./.github/actions/run-server-tests                                             UNKNOWN                              github-action                             
./.github/actions/setup                                                        UNKNOWN                              github-action           (+2 duplicates)   
./.github/actions/setup-server-env                                             UNKNOWN                              github-action                             
./.github/actions/upload-coverage                                              UNKNOWN                              github-action           (+1 duplicate)    
./.github/workflows/_base-migration.yml                                        UNKNOWN                              github-action-workflow                    
./.github/workflows/_base-server-tests.yml                                     UNKNOWN                              github-action-workflow                    
./.github/workflows/_base-type-check.yml                                       UNKNOWN                              github-action-workflow                    
./.github/workflows/_base-ui-tests.yml                                         UNKNOWN                              github-action-workflow                    
./actions/backport                                                             UNKNOWN                              github-action           (+1 duplicate)    
@adobe/css-tools                                                               4.3.2                                npm                                       
@alloc/quick-lru                                                               5.2.0                                npm                                       
@antfu/install-pkg                                                             1.1.0                                npm                                       
@apideck/better-ajv-errors                                                     0.3.7                                npm                                       
@babel/code-frame                                                              7.29.0                               npm                                       
@babel/code-frame                                                              7.29.7                               npm                                       
@babel/compat-data                                                             7.29.0                               npm                                       
@babel/compat-data                                                             7.29.7                               npm                                       
@babel/core                                                                    7.29.0                               npm                                       
@babel/core                                                                    7.29.7                               npm                                       
@babel/generator                                                               7.29.1                               npm                                       
@babel/generator                                                               7.29.7                               npm                                       
@babel/helper-annotate-as-pure                                                 7.27.3                               npm                                       
@babel/helper-compilation-targets                                              7.28.6                               npm                                       
@babel/helper-compilation-targets                                              7.29.7                               npm                                       
@babel/helper-create-class-features-plugin                                     7.28.6                               npm                                       
@babel/helper-create-regexp-features-plugin                                    7.28.5                               npm                                       
@babel/helper-define-polyfill-provider                                         0.6.8                                npm                                       
@babel/helper-globals                                                          7.28.0                               npm                                       
@babel/helper-globals                                                          7.29.7                               npm                                       
@babel/helper-member-expression-to-functions                                   7.28.5                               npm                                       
@babel/helper-module-imports                                                   7.28.6                               npm                                       
@babel/helper-module-imports                                                   7.29.7                               npm                                       
@babel/helper-module-transforms                                                7.28.6                               npm                                       
@babel/helper-module-transforms                                                7.29.7                               npm                                       
