NAME                                               VERSION                                                  TYPE                            
@adobe/css-tools                                   4.3.2                                                    npm                             
@babel/code-frame                                  7.29.7                                                   npm                             
@babel/compat-data                                 7.29.7                                                   npm                             
@babel/core                                        7.29.7                                                   npm                             
@babel/generator                                   7.29.7                                                   npm                             
@babel/helper-compilation-targets                  7.29.7                                                   npm                             
@babel/helper-globals                              7.29.7                                                   npm                             
@babel/helper-module-imports                       7.29.7                                                   npm                             
@babel/helper-module-transforms                    7.29.7                                                   npm                             
@babel/helper-string-parser                        7.23.4                                                   npm                             
@babel/helper-string-parser                        7.29.7                                                   npm                             
@babel/helper-validator-identifier                 7.22.20                                                  npm                             
@babel/helper-validator-identifier                 7.29.7                                                   npm                             
@babel/helper-validator-option                     7.29.7                                                   npm                             
@babel/helpers                                     7.29.7                                                   npm                             
@babel/parser                                      7.23.4                                                   npm                             
@babel/parser                                      7.29.7                                                   npm                             
@babel/template                                    7.29.7                                                   npm                             
@babel/traverse                                    7.29.7                                                   npm                             
@babel/types                                       7.23.4                                                   npm                             
@babel/types                                       7.29.7                                                   npm                             
@date-fns/tz                                       1.5.0                                                    npm                             
@dnd-kit/accessibility                             3.1.1                                                    npm                             
@dnd-kit/core                                      6.3.1                                                    npm                             
@dnd-kit/sortable                                  10.0.0                                                   npm                             
@dnd-kit/utilities                                 3.2.2                                                    npm                             
@editorjs/editorjs                                 2.28.2                                                   npm                             
@eslint-community/eslint-utils                     4.9.1                                                    npm                             
@eslint-community/regexpp                          4.12.2                                                   npm                             
@eslint/config-array                               0.21.2                                                   npm                             
@eslint/config-helpers                             0.4.2                                                    npm                             
@eslint/core                                       0.17.0                                                   npm                             
@eslint/eslintrc                                   3.3.5                                                    npm                             
@eslint/js                                         9.39.4                                                   npm                             
@eslint/object-schema                              2.1.7                                                    npm                             
@eslint/plugin-kit                                 0.4.1                                                    npm                             
@floating-ui/core                                  1.7.5                                                    npm                             
@floating-ui/dom                                   1.7.6                                                    npm                             
@floating-ui/react-dom                             2.1.8                                                    npm                             
@floating-ui/utils                                 0.2.11                                                   npm                             
@frappe/esbuild-plugin-postcss2                    0.1.3                                                    npm                             
@fullcalendar/core                                 6.1.11                                                   npm                             
@fullcalendar/daygrid                              6.1.11                                                   npm                             
@fullcalendar/interaction                          6.1.11                                                   npm                             
@fullcalendar/list                                 6.1.11                                                   npm                             
@fullcalendar/timegrid                             6.1.11                                                   npm                             
@headlessui/vue                                    1.7.16                                                   npm                             
@humanfs/core                                      0.19.2                                                   npm                             
@humanfs/node                                      0.16.8                                                   npm                             
@humanfs/types                                     0.15.0                                                   npm                             
@humanwhocodes/module-importer                     1.0.1                                                    npm                             
@humanwhocodes/retry                               0.4.3                                                    npm                             
@isaacs/balanced-match                             4.0.1                                                    npm                             
@isaacs/brace-expansion                            5.0.0                                                    npm                             
@isaacs/cliui                                      8.0.2                                                    npm                             
@isaacs/fs-minipass                                4.0.1                                                    npm                             
@isaacs/string-locale-compare                      1.1.0                                                    npm                             
@jridgewell/gen-mapping                            0.3.13                                                   npm                             
@jridgewell/remapping                              2.3.5                                                    npm                             
@jridgewell/resolve-uri                            3.1.2                                                    npm                             
@jridgewell/sourcemap-codec                        1.4.15                                                   npm                             
@jridgewell/sourcemap-codec                        1.5.5                                                    npm                             
@jridgewell/trace-mapping                          0.3.31                                                   npm                             
@my-scope/package-a                                0.0.0                                                    npm                             
@my-scope/package-b                                0.0.0                                                    npm                             
@nodelib/fs.scandir                                2.1.5                                                    npm                             
@nodelib/fs.stat                                   2.0.5                                                    npm                             
@nodelib/fs.walk                                   1.2.8                                                    npm                             
@npmcli/agent                                      3.0.0                                                    npm                             
@npmcli/agent                                      4.0.0                                                    npm                             
@npmcli/arborist                                   9.1.6                                                    npm                             
@npmcli/config                                     10.4.2                                                   npm                             
@npmcli/fs                                         4.0.0                                                    npm                             
@npmcli/git                                        7.0.0                                                    npm                             
@npmcli/installed-package-contents                 3.0.0                                                    npm                             
@npmcli/map-workspaces                             5.0.0                                                    npm                             
@npmcli/metavuln-calculator                        9.0.2                                                    npm                             
@npmcli/name-from-folder                           3.0.0                                                    npm                             
@npmcli/node-gyp                                   4.0.0                                                    npm                             
@npmcli/package-json                               7.0.1                                                    npm                             
@npmcli/promise-spawn                              8.0.3                                                    npm                             
@npmcli/query                                      4.0.1                                                    npm                             
@npmcli/redact                                     3.2.2                                                    npm                             
@npmcli/run-script                                 10.0.0                                                   npm                             
@oxc-project/types                                 0.137.0                                                  npm                             
